"feature_name","odds_ratio","pvalue","ci_lo","ci_up"
"pgs","1.20865","0.163","0.6703","2.0374"
"Endoloop ligature Puncture Abdominal wall","1.03658","0.311","0.758","1.3573"
"Port Retract Abdominal wall","1.01207","0.423","0.7588","1.3612"
"Suction irrigation Suction/Irrigation Blood","1.01026","0.044","0.9949","1.0746"
"Maryland dissector Grasp Adhesion","1.00877","0.879","0","1.8994"
"Grasper Grasp Cystic pedicle","1.00734","0.495","0.8272","1.0769"
"L-hook electrocautery Coagulate Gallbladder","1.00529","0.731","0.3127","1.4376"
"Maryland dissector Grasp Gallbladder","1.00517","0.597","0.4734","1.5232"
"Grasper Retract Liver","1.00484","0.16","0.9817","1.0394"
"Suction irrigation Aspirate Blood","1.00408","0.019","1.0009","1.0267"
"Hemoclip applier Clip Cystic artery","1.00383","0.549","0.896","1.045"
"L-hook electrocautery Coagulate Connective tissue","1.0026","0.538","0.8922","1.0844"
"Suction irrigation Dissect Cystic pedicle","1.00247","0.31","0.9815","1.0261"
"L-hook electrocautery Coagulate Blood","1.00175","0.826","0.7374","1.0464"
"Maryland dissector Grasp Cystic duct","1.0012","0.788","0.6549","1.0759"
"tdur","1.00035","0.488","0.999","1.0013"
"L-hook electrocautery Coagulate Cystic plate","0.99974","0.431","0.9979","1.0016"
"L-hook electrocautery Dissect Adhesion","0.99904","0.743","0.9845","1.0835"
"Grasper Grasp Fat","0.97573","0.707","0.6765","4.4333"
"cvs","0.67199","0.174","0.0266","2.4193"
